Hash,From,To,Value (ETH),Gas,Gas Price (ETH)
0xa098f840f00c1daf7b1ab04ecd167402c914c0c8b3b6412e3d34cc069db7a63d,0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404,0x7d0ccaa3fac1e5a943c5168b6ced828691b46b36,0,0xf4240,0.000000004964604261
0x3648a5f59d4fc94c0e8200e45e6d1ee604ad3ef47a8047593e624ffa23ec0a89,0x904cf7ab85a425bf3aff1e2707925a4d4f3bdcfd,0x3a10dc1a145da500d5fba38b9ec49c8ff11a981f,0,0x5b087,0.000000007964604262
0xed66b32a36843f8d9d70533c7cf5dbbe8bd147e8f3a7644bdc1485b0b2e4bc53,0xa96472f2cf82548313c791a37d6bf85ba39f6a34,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,0x459df,0.000000004964604262
0xb7855e6930b8d44d5d43a181cad5401d4ab9db5cc1994fa5548ab95b902489a0,0xc7376f0bf6dfadca7d2e8e5268088cb5e2c23b5e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.00402,0x443e7,0.000000004964604262
0x58e7da04d601d3875c5b24e86f5ee4cfcc28331cbd130b421b583335e733c266,0xfcaf9c57c26566f96d23f585950bb1c66e138890,0x92d6c1e31e14520e676a687f0a93788b716beff5,0,0x3325e,0.000000004964604262
0x837cd4ea9ee2a222488d23d3a14d59e7ea32088d22fd499f1e8de9ac10ca77e6,0xc16157e00b1bff1522c6f01246b4fb621da048d0,0x9a15bb3a8fec8d0d810691bafe36f6e5d42360f7,0.00598775,0x2c565,0.00000000454981857
0xc54c94a34a5e0dd424409023604e9c656423c58e127571a49c39fdc12ea50851,0x024d63b7e18118f5a73f26e086fdb4b4db077d7e,0xf3de3c0d654fda23dad170f0f320a92172509127,0.113784660828,0x3029d,0.00000000463054827
0x49979186ef12003903484dabccc7860e2dfb1fd5ec114685ae7ed532226bbe90,0xaa54cad75caf97425ac7f4fc8dac35ef3d15b1b5,0xeb9bf100225c214efc3e7c651ebbadcf85177607,0.23,0xe80e0,0.000000003797576266
0xc0148886426527d72cd8a27b97cbdb14f7c16aa00c4dd916258740a3896dc966,0xde2faca4bbc0aca08ff04d387c39b6f6325bf82a,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0,0x13880,0.000000006784195539
0x2a7548c85a2ca81ee44124b8e9801097ebb3391978bf967ae3a37ff94f0a2074,0xde2faca4bbc0aca08ff04d387c39b6f6325bf82a,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,0,0x3d090,0.000000006784195539
0x4a39718a23ac2339c69c677697c391d3c6d87d02804230bb684b05e101f16a24,0x3c689e7e9e8a083d884ec761f8346c8ed8ed1b2a,0xd9a442856c234a39a81a089c06451ebaa4306a72,0,0x40a69,0.000000003772587105
0x0c33ed91bb9974b3779272088a7fcc2dd20e328a58b65a0c45a8c92a75646236,0xc45224eb37730fde22ba371c0e368452db5305e7,0x5c73e1cfdd85b7f1d608f7f7736fc8c653513b7a,0,0x2fa0c,0.000000003964604262
0x8999daf400a29662aca6a50bd0108d49e016f4df6908d97a6ab3d9e194255ce5,0x86f1a057a949ca27af54d2815a14e3b9d387b1a9,0xf3de3c0d654fda23dad170f0f320a92172509127,0,0x426e7,0.000000003797576266
0x2f05bd7293f8afcf227e6804af2fe2bb09bcd01fbb91905221918b1d6dc73dfc,0xb5a46bc8b76fd2825aeb43db9c9e89e89158ecde,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,0,0x13880,0.000000006871774353
0x14dac923fe8d27199ce149eee05701f5d9c87d0abb406707083c887886ea1ea8,0xb5a46bc8b76fd2825aeb43db9c9e89e89158ecde,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,0,0x13880,0.000000006871774353
0x6d636a17f6d4e86e655fd2fa3efc154db654db0c331efae738cdc0a0dbbe966f,0x4821c12264177202f6a5bf03605cec7fc7b934ee,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.530006453158871516,0x3d1c3,0.000000003772587105
0x29f549d99a7c0e0ed4486d5452ae21f34a8b82c36353bdd6df41b5c1af9cf730,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x35d14,0.000000004964604262
0xc5e97229535727865136ad6475b752dac13b3584fdda4cef446540231d03f233,0xeede8ca035e570c9607a5e1103812eb1c71bfb2a,0xf3de3c0d654fda23dad170f0f320a92172509127,0,0x31797,0.000000003797576266
0x168eeab4ba82b0543e7e78d9aaf3061d9809e3a049f38caa3292b260e0b85028,0x458434c99b804d229b3859208e0bedc66dc855c3,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0,0x30be2,0.000000004364604262
0x599c22318ea0544fc5700e9d238c928585d15affeac6884af55cb4e3cca1c78a,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0,0x33450,0.000000004964604262
0x60e09fa1d431c8c1cea730a92d85adc17a0dfece9c37835e7bc4aaeada7f2bdb,0x424dab11bcd30078f34e19bb3f736fb57cf114b1,0x57e114b691db790c35207b2e685d4a43181e6061,0,0xb766,0.000000004964604262
0xe81b1e1bcffbee03fc166df6b3e09015f1f9be6a22f7240ba0f2fd231bc8f280,0x424dab11bcd30078f34e19bb3f736fb57cf114b1,0x881d40237659c251811cec9c364ef91dc08d300c,0,0x3608d,0.000000004964604262
0xe4a34181614409ee44ae5118e72c20f8824c4c64a9115028762a3608b506304e,0x4134cb095bf2cc8352a52a5194763a25fef7b214,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0,0x2a1bc,0.000000003797576266
0x2a76ed819940c3c63c581fb8e6514c525948291cea904ca98c7c826b2a6075f4,0x28c6c06298d514db089934071355e5743bf21d60,0xb0ffa8000886e57f86dd5264b9582b2ad87b2b91,0,0x32918,0.000000004964604262
0x2a10efcaf44f2384818a1c3350f510c9d56e13d3adb3e22b83347bc621cbbb60,0x2603b0711c3a121a82d813c40464c9767eda1f44,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,0x15f90,0.000000004307661529
0xdee1b6c29d3b747ba161a402d502e98bc2d78db2ce4208d62ab953153b0fa1a3,0xe41ce72eb274e5234e8c292721a578639d930dcd,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xc69f,0.000000005
0xd547160d1e815dfc071717a76721f39d899ed201f66ad42b92a1b9e60de6eb73,0xd2ccd81570cc8ee0e8542a38b1c99716b9ddf991,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xc69f,0.000000005
0x2f97099ab30a14dfa514b56fd84b6e796c3d34200b31b067fc9ebf4c5226efd9,0x560606106df4631d21aedd36cc99291c4624f8c9,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xc69f,0.000000005
